idProduto_FK,idContainer_FK
204,45
171,84
71,186
96,198
45,34
279,174
139,200
67,125
247,104
293,131
99,186
86,165
256,150
168,152
164,162
265,180
24,98
156,183
113,166
176,92
118,60
238,118
228,125
113,111
124,99
244,69
125,90
178,52
170,112
48,19
181,17
244,10
212,56
48,4
122,198
106,21
71,72
143,161
11,91
147,113
85,3
105,17
238,154
131,129
117,48
235,73
275,100
250,50
180,51
41,139
254,176
289,119
239,191
288,195
247,106
286,157
261,41
53,193
34,96
253,124
34,49
57,73
286,121
165,82
118,125
60,191
252,33
144,5
262,83
30,90
4,62
236,177
91,194
176,193
45,45
12,144
7,116
142,96
166,87
67,182
137,86
81,53
230,13
69,90
138,45
168,88
193,197
221,171
208,41
30,173
64,198
57,170
287,99
69,6
259,93
40,197
245,132
253,44
96,41
177,5
55,25
75,58
187,26
15,180
282,33
170,58
273,47
126,115
145,57
157,44
12,146
269,185
122,155
21,192
171,67
287,92
288,41
253,116
100,101
167,73
216,92
165,61
70,9
262,41
147,6
16,2
148,77
284,91
230,127
214,41
225,182
243,1
178,100
275,195
142,194
166,114
61,184
186,37
69,2
134,188
232,8
168,72
44,57
185,139
236,175
5,166
90,6
277,75
255,88
104,119
297,11
218,150
115,131
183,153
295,159
7,149
76,185
57,119
109,90
136,133
255,138
39,75
37,33
14,183
121,140
157,148
295,90
75,130
263,71
40,166
76,74
287,33
59,149
21,178
284,74
189,116
27,57
235,163
196,65
136,39
82,32
5,4
165,135
131,166
280,13
43,183
222,162
270,21
296,71
190,176
207,125
203,144
136,75
64,181
17,137
199,34
86,31
35,118
192,77
59,41
250,43
285,150
222,151
100,75
244,40
201,18
275,108
56,187
286,74
234,153
292,168
259,135
180,149
239,146
81,187
204,24
294,194
175,156
68,181
30,199
243,166
231,89
42,158
96,176
140,51
85,143
5,126
126,161
209,15
130,41
87,135
269,80
51,142
138,126
268,137
96,95
244,188
268,108
34,113
285,165
198,63
198,198
145,174
180,122
198,78
265,5
85,176
101,36
213,8
13,115
7,139
40,90
74,39
94,133
109,76
293,124
154,28
261,113
109,196
263,139
269,131
186,49
169,191
102,83
188,90
206,66
260,145
239,6
119,11
12,149
25,102
199,13
218,45
77,158
12,42
116,161
165,87
28,47
13,71
245,14
283,8
250,92
52,107
283,49
52,28
130,118
103,111
173,135
205,111
127,50
107,94
21,27
280,193
285,108
193,12
71,189
105,199
289,26
173,184
136,29
