idLote_PK,setor,posicao,idArmazem_FK
1,2,48,19
2,20,48,43
3,25,10,47
4,4,9,4
5,9,1,20
6,22,13,47
7,23,18,38
8,17,18,2
9,16,17,45
10,29,27,29
11,11,20,34
12,9,38,42
13,28,38,17
14,22,35,38
15,20,30,19
16,16,34,3
17,21,7,27
18,9,2,10
19,10,13,19
20,27,31,37
21,17,12,24
22,27,31,9
23,29,39,6
24,23,14,27
25,20,40,15
26,5,5,37
27,6,33,7
28,13,38,30
29,3,29,35
30,27,38,46
31,20,37,34
32,9,12,14
33,1,23,3
34,6,49,7
35,22,30,42
36,25,1,6
37,2,31,16
38,22,18,38
39,3,39,42
40,18,11,31
41,14,37,39
42,30,44,24
43,24,37,37
44,6,34,3
45,30,31,45
46,11,30,46
47,11,5,39
48,4,41,21
49,21,40,32
50,28,43,14
51,16,1,1
52,12,29,4
53,9,9,9
54,5,21,31
55,26,40,33
56,23,49,43
57,21,49,3
58,21,21,20
59,24,50,1
60,9,20,27
61,16,36,5
62,30,37,50
63,30,32,30
64,24,42,26
65,14,14,5
66,26,26,50
67,4,35,43
68,11,32,28
69,29,1,38
70,14,25,16
71,26,28,9
72,9,45,44
73,10,4,48
74,10,5,20
75,10,32,22
76,29,10,18
77,13,28,38
78,17,14,1
79,9,41,27
80,5,2,2
81,28,30,47
82,24,3,4
83,10,21,22
84,12,9,28
85,17,8,32
86,20,12,42
87,8,45,17
88,2,37,14
89,16,39,50
90,27,17,41
91,10,28,49
92,26,39,44
93,14,40,44
94,2,29,26
95,17,49,21
96,1,28,24
97,30,5,11
98,28,26,13
99,8,16,15
100,18,15,30
101,7,7,10
102,8,48,22
103,4,1,47
104,30,24,11
105,12,24,35
106,12,39,8
107,30,46,39
108,10,30,47
109,17,30,50
110,29,45,42
111,29,36,48
112,8,32,31
113,29,36,29
114,3,38,19
115,8,49,17
116,5,43,23
117,5,7,26
118,21,29,42
119,11,41,16
120,10,19,32
121,11,22,41
122,10,50,30
123,12,6,6
124,25,20,27
125,19,50,21
126,12,1,38
127,14,9,30
128,12,7,10
129,6,22,19
130,24,36,44
131,27,42,28
132,2,30,44
133,15,15,39
134,22,3,45
135,5,34,33
136,21,15,30
137,19,16,34
138,14,46,13
139,12,29,19
140,7,47,19
141,13,31,50
142,19,10,40
143,14,25,24
144,24,35,4
145,18,18,14
146,23,49,21
147,30,45,46
148,22,16,34
149,27,35,30
150,6,32,38
151,12,2,44
152,20,49,2
153,2,26,41
154,18,32,5
155,14,17,41
156,25,26,32
157,9,47,38
158,15,21,31
159,25,7,49
160,4,47,33
161,23,29,49
162,25,33,17
163,29,21,43
164,14,50,33
165,6,23,4
166,15,1,9
167,30,7,48
168,19,32,12
169,15,26,11
170,22,48,21
171,10,43,20
172,14,48,36
173,7,43,9
174,27,33,35
175,21,11,6
176,19,18,9
177,7,17,15
178,17,27,7
179,30,31,27
180,9,21,19
181,17,31,25
182,15,47,8
183,22,25,47
184,24,42,28
185,26,46,19
186,19,19,12
187,29,47,21
188,7,47,6
189,23,44,28
190,26,47,11
191,19,3,15
192,8,34,13
193,12,41,16
194,30,12,5
195,27,35,28
196,30,48,39
197,13,36,19
198,8,10,3
199,2,31,21
200,10,6,28
201,24,16,7
202,18,34,5
203,9,35,27
204,29,16,30
205,23,12,11
206,23,17,46
207,25,8,34
208,15,13,37
209,5,14,21
210,9,28,17
211,22,14,5
212,27,45,16
213,26,9,39
214,3,47,10
215,22,32,16
216,21,28,25
217,25,47,34
218,9,33,43
219,16,3,32
220,27,47,40
221,28,13,11
222,24,3,2
223,4,4,20
224,3,20,36
225,27,20,20
226,28,30,39
227,30,40,30
228,18,7,20
229,3,27,39
230,15,23,42
231,7,23,44
232,18,18,22
233,30,35,9
234,15,29,45
235,12,18,9
236,18,41,26
237,27,17,50
238,3,11,29
239,21,28,28
240,18,40,48
241,21,39,7
242,7,31,5
243,21,36,12
244,2,29,41
245,25,2,45
246,1,23,49
247,27,23,7
248,20,23,22
249,4,27,2
250,20,12,1
251,18,34,7
252,1,24,16
253,18,49,47
254,30,4,28
255,7,21,16
256,18,19,36
257,2,28,3
258,21,46,14
259,4,12,40
260,18,19,33
261,7,36,3
262,20,1,9
263,11,29,34
264,10,43,38
265,3,43,22
266,21,22,14
267,16,12,20
268,16,44,18
269,11,10,24
270,19,1,33
271,30,8,26
272,5,46,39
273,12,24,28
274,18,29,41
275,4,37,33
276,10,34,29
277,6,10,8
278,16,46,9
279,18,18,45
280,25,48,2
281,26,34,28
282,10,32,47
283,16,34,32
284,25,3,34
285,15,5,12
286,7,6,30
287,15,49,20
288,27,40,46
289,2,5,31
290,15,49,44
291,20,21,41
292,30,29,11
293,1,31,45
294,16,24,20
295,18,29,49
296,21,49,45
297,25,41,50
298,18,28,27
299,3,46,38
300,8,11,17
301,17,4,11
302,16,41,1
303,4,11,46
304,9,22,48
305,27,27,34
306,21,4,47
307,29,14,7
308,1,21,5
309,27,9,39
310,27,34,8
311,19,3,13
312,17,47,44
313,20,28,9
314,7,7,41
315,29,12,42
316,24,20,9
317,12,3,1
318,29,18,7
319,22,31,45
320,26,9,40
321,20,2,14
322,29,35,5
323,19,8,29
324,9,35,44
325,2,22,31
326,19,27,2
327,10,14,44
328,19,15,32
329,29,2,32
330,3,47,28
331,24,12,27
332,29,7,18
333,21,35,8
334,2,26,16
335,17,37,31
336,21,17,50
337,18,6,35
338,12,28,15
339,11,2,3
340,28,5,21
341,22,7,34
342,7,23,34
343,11,5,43
344,29,21,8
345,1,16,45
346,6,19,38
347,17,44,3
348,11,19,40
349,27,7,28
350,13,36,39
351,2,27,29
352,22,20,14
353,9,5,25
354,4,5,31
355,7,20,28
356,17,31,37
357,16,4,18
358,29,14,30
359,4,27,43
360,20,50,49
361,23,43,12
362,1,1,40
363,23,31,17
364,5,48,16
365,26,23,6
366,8,6,41
367,12,37,4
368,17,1,6
369,27,41,6
370,5,35,49
371,16,36,45
372,25,24,18
373,18,13,40
374,4,35,45
375,14,42,50
376,19,35,6
377,14,15,34
378,8,16,29
379,15,25,35
380,3,29,24
381,10,9,15
382,5,15,23
383,27,32,6
384,20,14,24
385,8,45,32
386,3,26,32
387,28,48,40
388,24,4,28
389,12,26,5
390,12,13,14
391,13,44,35
392,24,3,28
393,26,37,11
394,12,17,11
395,14,20,46
396,12,48,25
397,15,31,10
398,16,22,24
399,26,43,24
400,8,15,42
401,30,23,41
402,26,20,8
403,16,49,6
404,11,15,34
405,18,21,2
406,6,4,30
407,22,11,14
408,1,22,8
409,4,21,21
410,14,21,44
411,1,18,20
412,4,37,18
413,15,10,46
414,18,19,12
415,15,42,19
416,29,45,37
417,1,28,43
418,21,4,19
419,26,23,42
420,5,4,14
421,9,50,37
422,21,29,31
423,7,3,20
424,15,13,47
425,5,3,26
426,19,36,13
427,12,12,22
428,8,48,38
429,15,12,10
430,23,20,19
431,17,14,21
432,14,34,3
433,23,13,25
434,16,18,30
435,11,10,17
436,15,8,48
437,21,45,2
438,25,16,41
439,29,46,11
440,1,47,47
441,20,48,3
442,16,42,50
443,27,16,7
444,17,9,6
445,13,12,1
446,28,6,11
447,18,43,4
448,11,19,10
449,13,36,21
450,8,44,48
451,22,16,38
452,16,37,6
453,5,31,36
454,18,10,5
455,27,1,30
456,7,43,15
457,23,31,3
458,14,31,4
459,20,24,12
460,1,30,29
461,23,30,43
462,16,23,11
463,9,47,34
464,21,27,28
465,15,22,12
466,19,1,39
467,14,7,35
468,22,8,24
469,18,29,10
470,20,38,37
471,6,50,13
472,14,6,31
473,10,11,33
474,16,20,4
475,19,33,45
476,24,30,22
477,24,44,17
478,12,13,11
479,17,44,25
480,26,13,23
481,11,22,46
482,30,45,47
483,21,42,35
484,27,45,31
485,4,37,30
486,19,12,2
487,19,12,9
488,12,13,10
489,26,26,7
490,8,42,47
491,4,18,21
492,22,45,36
493,24,50,6
494,17,38,42
495,22,46,5
496,7,47,39
497,3,34,10
498,12,47,43
499,4,3,9
500,30,13,35
